Bill_no.,Status
"('Relating generally to WV Appellate Reorganization Act of 2021',)"
"('Updating meaning of ""federal adjusted gross income"" and certain other terms used in WV Personal Income Tax Act',)"
"('Creating COVID-19 Jobs Protection Act',)"
"('Redirecting excise tax revenue on bottled soft drinks from WVU to the counties for law-enforcement support',)"
"('Eliminating restriction to carry firearm on State Capitol Complex grounds',)"
"('Relating to e-commerce modernization',)"
"('Prohibiting ABCC from taking enforcement actions for violations of law or rule not related to ABCC',)"
"('Limiting increase in assessed tax valuation for improvements to residential real property',)"
"('Relating to public and private funding of road construction projects',)"
"('Allowing private schools option of making vaccinations required for enrollment',)"
"('Requiring parental notification of school-based dispensaries of contraceptives to minors',)"
"('Providing for special obligation notes to finance construction completing I-73 and I-74',)"
"('Requiring county boards of education to provide free feminine hygiene products in grades six through 12',)"
"('Creating Katherine Johnson Fair Pay Act of 2021',)"
"('Requiring Medicaid and insurance coverage for treatment of pediatric autoimmune neuropsychiatric disorders',)"
"('Relating to suspension or termination of courses by institutions which receive WV Invests Grants',)"
"('Exempting certain hygiene products from sales tax',)"
"('Relating to disclosure of fundraising contributions during legislative session',)"
"('Clarifying that Economic Development Authority is not authorized to enter into banking contracts without State Treasurer approval',)"
"('Relating generally to savings and investment programs offered by state',)"
"('Relating generally to economic development loans and loan insurance issued by state',)"
"('Relating generally to repealing certain rules',)"
"('Relating generally to modernizing Board of Treasury Investments',)"
"('Limiting landowner liability for recreational use of lands',)"
"('Providing liquor, wine, and beer licensees with new concepts developed during state of emergency',)"
"('Prohibiting legislators and part-time public officials from having interest in public contracts under certain circumstances',)"
"(""Relating to patients' rights and vaccinations"",)"
"('Prohibiting gender-based price discrimination',)"
"('Creating Local Government Labor and Consumer Marketing Regulatory Limitation Act',)"
"('Requiring Secretary of State maintain online database of religious organizations',)"
"('Providing exemption from consumers sales and service tax for certain aircraft maintenance',)"
"('Relating to removal of animals left unattended in motor vehicles',)"
"('Relating generally to in-state tuition rates for certain persons',)"
"('Modifying requirement that racetrack participate in WV Thoroughbred Development Fund by certain date',)"
"('Creating felony offense of aggravated cruelty to animals',)"
"('Providing for nonpartisan elections of county prosecuting attorneys',)"
"('Relating to acquisition and disposition of property by urban development authority',)"
"('Allowing state and federal criminal history record check of each adult living in residence when minor child is placed there due to emergency',)"
"('Authorizing year-round hunting of coyote',)"
"('Regulating pawnbrokers',)"
"('Protecting consumers against businesses using automatic renewals without consent',)"
"(""Eliminating suspension of driver's license for failure to pay court fines and costs"",)"
"('Providing protection from civil liability for certain individuals rescuing animals locked in unattended vehicles',)"
"('Relating generally to public notice of unclaimed property held by State Treasurer',)"
"('Relating to establishing Community Health Equity Initiative Demonstration Project',)"
"(""Allowing workers' compensation benefits for first responders diagnosed with PTSD"",)"
"('Clarifying and updating language regarding Fairmont State alumni license plates',)"
"('Relating generally to the payment of salary or wages under the Parental Leave Act',)"
"('Prohibiting Natural Resources Commission from establishing bag limit for antlered deer',)"
"('Clarifying municipal B&O taxation where business activity occurs',)"
"('Repealing article relating to mandatory motor vehicle state inspections',)"
"('Relating to retirement and pension benefits of certain members of PERS and Teachers Retirement system',)"
"('Establishing contribution holiday for public pension plans funded at 130 percent or more',)"
"('Collecting and analyzing statistical information pertaining to terminating pregnancies under Medicaid Program',)"
"('Relating to outdoor advertising regulated by DOH',)"
"('Allowing grocery stores to sell certain amount of WV-made wine without license',)"
"('Establishing 80 miles per hour speed limit on state highways',)"
"('Providing procedure for WV to select delegates to Article V Convention',)"
"('Establishing WV Freedom of Conscience Protection Act',)"
"('Establishing license application process for needle exchange programs',)"
"('Relating to WV Invests Grant Program for students at accredited community and technical college',)"
"('Relating to nonferrous metal sales and transportation to secondary recycler',)"
"('Creating Life at Conception Act of 2021',)"
"('Creating Fire Service Equipment and Training Fund',)"
"('Expanding types of agricultural operations that are protected from nuisance and other legal actions',)"
"('Requiring all local special levies be held on regularly scheduled statewide election ballot',)"
"(""Requiring participation in athletic or sporting events be based on athlete's biological gender"",)"
"('Allowing certain schools with enrollment of 25 or fewer students to operate as nonpublic micro-school',)"
"('Authorizing DMV to process online driver’s license or identification card change of address',)"
"('Relating to credit for qualified rehabilitated buildings investment',)"
"('Expanding alcohol test and lock program to include offenders with drug-related offense',)"
"('Authorizing DMV use electronic means when providing notice for licensees and vehicle owners',)"
"('Allowing private club licensees provide alcoholic beverage carryout',)"
"('Relating to requirements for compulsory school attendance for certain students',)"
"('Limiting DHHR and certain state and local boards of health in gaining access to certain entities',)"
"('Providing for collection and remittance of hotel occupancy tax by certain marketplace facilitators',)"
"('Declaring Israel as prominent trading partner',)"
"('Creating offenses of conversion of leased or rented personal property',)"
"('Creating Second Amendment Preservation Act',)"
"('Relating to Medicaid reform',)"
"('Relating to emergency powers of Governor',)"
"(""Allowing for written part of drivers' exam given in high school drivers' education course"",)"
"('Creating 2021 Farm Bill',)"
"('Removing prohibition on ATMs located in area where racetrack video lottery machines are located',)"
"('Informing landowners when fencing that may contain livestock is damaged due to accident',)"
"('Allowing poll workers to work full and half days',)"
"('Extending supervision for conviction of soliciting minor and using obscene matter with intent to seduce minor',)"
"('Creating Orphan Oil and Gas Well Prevention Act',)"
"('Relating to certification requirements of crane operators',)"
"('Limiting use of wages by employers and organizations for political activities',)"
"('WV Firearms Protection Act',)"
"('Relating to homeschool requirements',)"
"('Relating to advertisements from political candidates',)"
"('Authorizing DEP to develop Reclamation of Abandoned and Dilapidated Properties Program',)"
"('Permitting civil actions against social media sites for censorship',)"
"('Requiring certain documents that contain wage records be considered confidential',)"
"('Permitting Commissioner of DOH to make money transfers within State Road Fund',)"
"('Providing greater discretion to WV Board of Medicine to approve graduate clinical training',)"
"('Relating to modernizing collection of income taxes for mobile workforce',)"
"('Increasing threshold for bid requirement to $10,000 to be consistent with other state agencies',)"
"('Relating to county boards of education policies for open enrollment',)"
"('Removing obsolete provisions regarding DOH standards for studded tires and chains',)"
"('Relating to extension for boil water advisories by water utility or public service district',)"
"('Requiring participation in drug court program for certain offenders',)"
"('Requiring persons convicted of certain crimes on or after March 8, 1995, provide DNA samples',)"
"('Relating generally to Electronic Telecommunication Open Infrastructure Act',)"
"('Creating nonresident three-day fishing license',)"
"('Removing requirement that Commissioner of DOH regulate studded tires',)"
"('Relating to exempting certain organizations from property taxation',)"
"('Increasing minimum salaries for Bureau for Child Support Enforcement attorneys',)"
"('Relating to requirements of procurement process in performance-based contracts',)"
"('Relating to fees for certain military special registration plates',)"
"('Relating to drug screening of applicants for cash assistance',)"
"('Creating Office of Quality Assurance and Evaluation within DHHR',)"
"('Relating to State Resiliency Office responsibility to plan for emergency and disaster response, recovery, and resiliency',)"
"('Reorganizing Health Care Authority under DHHR and clarifying responsibilities for all-payer claims database',)"
"('Relating to study of child protective services and foster care workforce',)"
"('Creating penalty for impersonating law-enforcement officer or official',)"
"('Requiring contractors provide county boards of education number of units constructed prior to issuing permit',)"
"('Exempting certain persons from hunting, trapping, and fishing license fees',)"
"('Expanding PEIA Finance Board membership',)"
"('Providing limitations on nuisance actions against fire department or EMS fixed sirens',)"
"('Relating to health care provider tax',)"
"('Limiting eligibility of certain employers to participate in PEIA plans',)"
"('Amending reporting requirements for Office of Health Facility Licensure and Certification’s website',)"
"('Relating to costs and interest in eminent domain condemnation proceedings',)"
"('Relating to WV Consumer Credit and Protection Act',)"
"('Relating to tax exemption for child support due',)"
"('Creating Timber Co-tenancy Modernization and Majority Protection Act and Unknown and Unlocatable Timber Interest Owners Act',)"
"('Modifying well work permits issued by DEP Office of Oil and Gas',)"
"('Amending definition of ""aboveground storage tank""',)"
"('Removing Hepatitis B vaccine from list of compulsory immunizations',)"
"('Assessing wildlife impact fee on wind power projects',)"
"('Relating to maintenance and repair of roads and highways',)"
"('Transferring child welfare enforcement responsibilities to State Police',)"
"('Relating to time limitation for filing occupational pneumoconiosis claims',)"
"('Requiring probationers who served 10 or more years to participate in work release program',)"
"('Relating to wind power projects taxation at real property rates',)"
"('Relating to use of aftermarket crash parts by repair shops',)"
"('Requiring DHHR file petition to terminate parental rights under certain circumstances',)"
"('Allowing county commissions to impose amusement tax',)"
"('Creating Fetal Heartbeat Act',)"
"('Relating to long-term care and substance abuse treatment',)"
"('Creating Small Business and Minority Populations Economic and Workforce Development Taskforce',)"
"('Redefining ""firearm"" to match federal code',)"
"(""Requiring labeling of potentially harmful ingredients on menstrual products' packaging"",)"
"('Authorizing Workforce West Virginia to hire at-will employees',)"
"('Establishing common law ""veil piercing"" claims not be used to impose personal liability',)"
"('Prohibiting abortion coverage in certain qualified health care plans',)"
"('Creating fixed income credit for low-income senior citizens',)"
"('Authorizing public retirement system participants to receive cash value of retirement benefits in lieu of regular payments',)"
"('Allowing parents decline required medication administered to newborns',)"
"('Limiting DEP employees entering private lands for environmental purposes only',)"
"('Transferring Parole Board to Office of Administrative Hearings',)"
"('Exempting Division of Emergency Management from Purchasing Division requirements for certain contracts',)"
"('Modifying form of certain deeds',)"
"('Relating to school attendance notification requirements to DMV',)"
"('Defining term “veteran” relating to veteran-owned businesses',)"
"(""Authorizing Division of Rehabilitation Services to approve training programs acceptable for training low vision individuals to obtain Class G driver's license"",)"
"('Requiring training for law-enforcement officers responsible for investigating crimes of sexual assault',)"
"('Requiring county superintendents to authorize certain school principals or administrators at nonpublic schools to issue work permits for enrolled students',)"
"('Relating generally to solid waste facilities',)"
"('Extending contingent increase of tax rate on certain eligible acute care hospitals',)"
"('Supplementing, amending, and increasing items of existing appropriation from State Road Fund to DMV',)"
"('Allowing use or nonuse of safety belt as admissible evidence in civil actions',)"
"('Relating to requirements on abandoned or discontinued state highway or road',)"
"('Supplementing, amending, and increasing an existing item of appropriation from State Road Fund to DOH',)"
"('Relating to Unemployment Insurance Program Integrity Act',)"
"('Supplementing, amending, decreasing, and increasing items of existing appropriation from State Road Fund to DOH',)"
"('Expiring funds to unappropriated surplus balance in State Fund from State Excess Lottery Revenue Fund',)"
"('Reinstating film investment tax credit',)"
"('Extending Neighborhood Investment Program Act',)"
"('Relating to economic incentive tax credits',)"
"('Relating generally to property tax increment financing districts',)"
"('Supplementing and amending appropriations from State Fund to Public Defender Services',)"
"('Protecting albino deer',)"
"('Relating to possession of firearms by individuals during declared state of emergency',)"
"('Requiring development of comprehensive and strategic plan for off-highway vehicle recreation',)"
"('Creating inventory and mapping of all roads in state forests, state parks, national forests, and national parks',)"
"('Requiring DOH provide web-based interactive and downloadable road maps',)"
"('Creating reporting system for illegal gates on public roads',)"
"('Relating to Natural Resources Police Officers Retirement System',)"
"(""Expiring funds to unappropriated surplus balance in State Fund from Mine Subsidence Insurance Fund and Veterans' Facilities Support Fund"",)"
"('Relating to possession of firearms by individuals during state of emergency',)"
"(""Relating to return of member's paid contributions to heirs after member's death under certain circumstances"",)"
"('Relating to Deputy Sheriff Retirement System Act',)"
"('Supplemental appropriation from State Fund, General Revenue, to Division of Emergency Management',)"
"('Extending Neighborhood Investment Program Act until July 1, 2026',)"
"('Consolidating position of Inspector General of former Workers’ Compensation Fraud and Abuse Unit and position of Director of Insurance Fraud Unit',)"
"('Requiring composting of organic materials and commercial composting products comply with WV Fertilizer Law',)"
"('Including correctional officers as law-enforcement within WV Fire, EMS, and Law-Enforcement Survivor Benefit Act',)"
"('Relating generally to appraisal management companies',)"
"('Relating to WV Municipal Police Officers and Firefighters Retirement System',)"
