Bill_no.,Status,Doc_name,Doc _url
SB 101,Pending,Authorizing tax credit for business entities which invest in certain fresh food retailers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB101 INTR.pdf
SB 102,Pending,Allowing disabled veterans and purple heart recipients park free at paid parking of state or its political subdivisions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB102 SUB1.pdf
SB 103,Pending,Relating to employment of nurses in public schools,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB103 INTR.pdf
SB 104,Pending,Creating Patient Safety and Transparency Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB104 INTR.pdf
SB 105,Pending,Relating to retirees employed as substitute bus drivers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB105 INTR.pdf
SB 106,Pending,Creating personal income tax credit for volunteer firefighters,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB106 INTR.pdf
SB 107,Pending,Including certain types of cancers for which rebuttable presumption of injury exists for firefighters,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB107 INTR.pdf
SB 108,Pending,Prohibiting racial discrimination based on certain hair textures and hairstyles,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB108 INTR.pdf
SB 109,Pending,Prohibiting civil rights violations,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB109 INTR.pdf
SB 110,Pending,Adjusting distance from polling place certain election-related activity is prohibited,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB110 INTR.pdf
SB 111,Pending,Exempting firearm safe storage products from consumers sales tax,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB111 INTR.pdf
SB 112,Pending,Relating to mobility impairment identifying documents,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB112 INTR.pdf
SB 113,Pending,Creating Wholesale Prescription Drug Importation Program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB113 INTR.pdf
SB 114,Pending,"Permitting certain veterans to hunt, trap, or fish in state without license",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB114 INTR.pdf
SB 115,Pending,Exempting emergency vehicles and private ambulances from paying tolls or other charges,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB115 INTR.pdf
SB 116,Pending,Drug testing of legislators,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB116 INTR.pdf
SB 117,Pending,Creating Stay in State Tax Credit,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB117 INTR.pdf
SB 118,Pending,Require parental notification of minors being prescribed contraceptives,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB118 INTR.pdf
SB 119,Pending,Prohibiting certain misleading pharmaceutical advertising practices,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB119 INTR.pdf
SB 120,Pending,Requiring wholesale drug distributors to report certain information to WV Board of Pharmacy,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB120 INTR.pdf
SB 121,Pending,Exempting nonprofit corporations from property tax for certain agricultural and industrial fairs and expositions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB121 INTR.pdf
SB 122,Pending,Allowing counties to hold inmates under certain circumstances in county jail,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB122 INTR.pdf
SB 123,Pending,Changing determination of compensation paid to landowner when eminent domain used for pipeline,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB123 INTR.pdf
SB 124,Pending,Relating to insulin cost management,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB124 INTR.pdf
SB 125,Pending,Budget Bill,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB125 SUB1 ENG.pdf
SB 126,Signed,Authorizing Department of Administration to promulgate legislative rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB126 SUB1 ENR.pdf
SB 127,Pending,State Board of Risk and Insurance Management rule relating to mine subsidence insurance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB127 INTR.pdf
SB 128,Pending,State Board of Risk and Insurance Management rule relating to public entities insurance program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB128 INTR.pdf
SB 129,Pending,State Board of Risk and Insurance Management rule relating to procedures for providing written notification of claims of potential liability to state or its employees.,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB129 INTR.pdf
SB 130,Pending,DEP rule relating to ambient air quality standards,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB130 INTR.pdf
SB 131,Pending,DEP rule relating to standards of performance for new stationary sources,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB131 INTR.pdf
SB 132,Pending,DEP rule relating to control of air pollution from combustion of solid waste,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB132 INTR.pdf
SB 133,Pending,DEP rule relating to control of air pollution from municipal solid waste landfills,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB133 INTR.pdf
SB 134,Pending,DEP rule relating to acid rain provisions and permits,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB134 INTR.pdf
SB 135,Pending,DEP rule relating to emission standards for hazardous air pollutants.,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB135 INTR.pdf
SB 136,Pending,DEP rule relating to control of greenhouse gas emissions from existing coal-fired electric utility generating units,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB136 INTR.pdf
SB 137,Pending,DEP rule relating to requirements governing water quality standards,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB137 INTR.pdf
SB 138,Pending,DEP rule relating to hazardous waste management system,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB138 INTR.pdf
SB 139,Pending,DEP rule relating to voluntary remediation and redevelopment rule,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB139 INTR.pdf
SB 140,Pending,Division of Rehabilitation Services rule relating to Ron Yost Personal Assistance Services Act Board,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB140 INTR.pdf
SB 141,Pending,DHHR rule relating to behavioral health centers licensure,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB141 INTR.pdf
SB 142,Pending,DHHR rule relating to hospital licensure,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB142 INTR.pdf
SB 143,Pending,DHHR rule relating to nursing home licensure,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB143 INTR.pdf
SB 144,Pending,DHHR rule relating to lead abatement licensing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB144 INTR.pdf
SB 145,Pending,DHHR rule relating to emergency medical services,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB145 INTR.pdf
SB 146,Pending,DHHR rule relating to client rights at state-operated mental health facilities,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB146 INTR.pdf
SB 147,Pending,DHHR rule relating to delegation of medication administration and health maintenance tasks to approved medication assistive personnel,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB147 INTR.pdf
SB 148,Pending,DHHR rule relating to public health standards for businesses remaining open during COVID-19 outbreak,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB148 INTR.pdf
SB 149,Pending,DHHR rule relating to diabetes self-management education,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB149 INTR.pdf
SB 150,Pending,"DHHR rule relating to WV clearance for access, registry, and employment screening",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB150 INTR.pdf
SB 151,Pending,DHHR rule relating to recovery residence certification and accreditation program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB151 INTR.pdf
SB 152,Pending,DHHR rule relating to child placing agencies licensure,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB152 INTR.pdf
SB 153,Pending,DHHR rule relating to minimum licensing requirements for residential child care and treatment facilities for children and transitioning adults and vulnerable and transitioning youth group homes and programs in WV,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB153 INTR.pdf
SB 154,Pending,DHHR rule relating to procedure to contest substantiation of child abuse or neglect,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB154 INTR.pdf
SB 155,Pending,Health Care Authority rule relating to exemption from certificate of need,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB155 INTR.pdf
SB 156,Signed,Authorizing Department of Homeland Security to promulgate legislative rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB156 SUB1 ENR.pdf
SB 157,Pending,"Fire Marshal rule relating to standards for certification and continuing education municipal, county, and other public sector building code officials, building code inspectors, and plans examiners",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB157 INTR.pdf
SB 158,Pending,State Emergency Response Commission rule relating to emergency planning and community right to know,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB158 INTR.pdf
SB 159,Pending,State Emergency Response Commission rule relating to emergency planning grant program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB159 INTR.pdf
SB 160,Signed,Authorizing Department of Revenue to promulgate legislative rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB160 SUB1 ENR.pdf
SB 161,Pending,"Alcohol Beverage Control Commission rule relating to distilleries, mini-distilleries, and micro-distilleries",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/SB161 INTR.pdf
